EmployeeID,Name,Gender,Citizenship,Languages,Department,Salary,SSN,Age,Years of Experience
1,Cheryl Bishop,Female,China,French,Product,130868,488-65-7566,42,21
2,Mrs. Michele Daniels,Male,Canada,French,Product,85233,232-13-4729,23,2
3,Joshua Turner,Female,USA,Hindi,Administrative,133959,736-37-0563,57,36
4,Travis Johnson,Male,India,"Spanish, French",Product,55359,091-95-8817,58,37
5,Mark Johnson,Male,USA,None,Operations,121289,035-41-0454,53,32
6,Susan Hunt,Male,USA,Spanish,Sales,118081,546-44-9022,52,31
7,Richard Fleming,Male,USA,Hindi,Administrative,128163,566-52-6672,58,37
8,Kendra Wallace,Female,China,None,Product,55242,513-57-1948,49,28
9,Joshua Cook,Female,China,"Hindi, Arabic",Product,139624,361-67-0425,34,13
10,Christina Bryan,Male,USA,"Spanish, French",Administrative,55659,538-77-7885,58,37
11,Edward Watson,Female,USA,"Hindi, French",Operations,91455,467-96-3615,49,28
12,Terry Campbell,Male,USA,Mandarin,Product,59239,563-60-3841,37,16
13,Erika Carr,Male,India,"Hindi, Mandarin",I/T,65038,590-58-3998,49,28
14,Joshua Flores,Female,USA,None,Operations,131896,657-62-1492,28,7
15,Robert Wilkinson,Female,USA,French,Product,85091,608-90-7554,58,37
16,Andrew Brennan,Female,USA,"Hindi, Arabic",Operations,74945,372-26-2398,52,31
17,Jennifer Rios,Male,USA,None,Marketing,145442,394-61-6034,40,19
18,Matthew Stevens,Male,China,French,Marketing,52233,262-44-3282,50,29
19,Eric Mcneil,Female,USA,"Spanish, Arabic",Human Resource,105740,484-17-6755,52,31
20,Wayne Garcia Jr.,Male,USA,"Spanish, French",Marketing,90863,787-24-1035,30,9
21,Caleb Sanchez,Female,USA,Mandarin,Legal,93211,091-33-5890,44,23
22,Jodi Warren,Female,USA,"French, Spanish",Legal,113176,774-34-7010,22,1
23,Darlene Hall,Male,USA,None,Product,146386,170-89-2193,47,26
24,Shannon Abbott,Female,China,"Spanish, French",Marketing,139325,811-26-6829,64,43
25,Scott Howard,Female,USA,Spanish,Operations,60103,660-42-5363,39,18
26,Jasmine Smith,Male,China,Spanish,Operations,101707,684-11-7544,24,3
27,Amanda Spencer,Male,USA,None,Marketing,135077,890-35-8593,25,4
28,William Jones,Female,USA,Mandarin,I/T,65443,239-97-8469,29,8
29,Cassandra Hall,Male,USA,None,Administrative,108234,008-66-0587,53,32
30,Brenda Horton,Female,India,None,Legal,99069,300-78-6872,42,21
31,Nicholas Davis,Male,USA,"Mandarin, French",I/T,89430,366-61-3941,22,1
32,Ruth Bell,Male,USA,"Arabic, Mandarin",Legal,133455,210-43-9145,40,19
33,Elizabeth Montgomery,Female,China,Hindi,Sales,135353,833-83-6808,23,2
34,Glenn Martinez,Female,USA,French,Legal,61117,190-41-4324,43,22
35,Michele Hamilton,Male,USA,None,Product,63065,559-59-0318,61,40
36,Robert Wilson,Male,USA,"Hindi, Spanish",Finance,100836,422-01-9836,57,36
37,Alan Wong,Female,USA,"Arabic, Mandarin",Human Resource,88289,891-21-6525,35,14
38,Jacob Black,Male,India,None,Marketing,138721,412-20-9578,51,30
39,Ashley Porter,Female,USA,"French, Arabic",Product,63155,323-41-7625,34,13
40,Megan Jackson,Female,USA,"Mandarin, Spanish",Administrative,109643,096-91-4626,41,20
41,David Macdonald,Female,South Korea,Mandarin,Human Resource,94150,123-53-6833,46,25
42,Susan Little,Male,Canada,Spanish,Operations,91762,314-83-0844,52,31
43,Jennifer Blanchard,Female,South Korea,None,Product,74249,620-01-9003,61,40
44,Steven Evans,Male,USA,Arabic,Legal,63483,558-88-1406,33,12
45,Erica Lopez,Female,China,"Arabic, Hindi",Finance,98085,847-48-0621,64,43
46,Christopher Contreras,Female,China,Arabic,Sales,111268,231-32-4713,25,4
47,David Greene,Female,USA,Spanish,Operations,117263,232-85-1334,57,36
48,Jacqueline Harris,Male,USA,"Arabic, Hindi",Product,117506,210-11-5337,43,22
49,Robert Williams,Male,Philippines,Spanish,Administrative,51229,727-40-2101,24,3
50,Brian Randall,Male,Philippines,"Arabic, Hindi",Finance,70437,410-01-9844,46,25
51,Rick Carroll,Female,South Korea,Spanish,I/T,90037,817-34-5469,28,7
52,Jessica Delgado,Female,India,None,Finance,94041,107-95-6325,28,7
53,Randy Brown,Female,Canada,"Spanish, Arabic",Legal,73946,196-09-5875,34,13
54,Sean Taylor,Male,USA,"Arabic, French",Product,58490,194-09-4193,61,40
55,Joshua Gonzalez,Female,USA,None,Operations,70793,582-44-2927,58,37
56,Justin Espinoza,Male,USA,None,Product,94715,747-80-0271,60,39
57,Dylan Hughes,Male,USA,Arabic,Administrative,143236,080-23-2002,57,36
58,Tiffany Campbell,Male,USA,Spanish,Product,54251,209-98-6473,33,12
59,Brenda Powell,Female,USA,"Mandarin, Spanish",Operations,75444,010-77-6175,34,13
60,Shannon Robbins MD,Female,USA,Spanish,Administrative,77092,172-95-3838,22,1
61,Brandon Figueroa,Female,USA,"Arabic, Hindi",Legal,113848,837-80-7168,32,11
62,Heather Howard,Male,USA,Mandarin,Operations,130129,180-89-0109,46,25
63,Allen Trevino,Male,Canada,"Arabic, French",Product,147149,405-72-8683,47,26
64,Todd Weber,Female,Philippines,None,Operations,107472,757-51-9752,56,35
65,Jennifer Johnson,Female,USA,Spanish,Human Resource,95109,025-50-5863,54,33
66,Linda Horn,Male,South Korea,"Hindi, French",Human Resource,72417,792-95-6826,48,27
67,Holly Collins,Male,USA,Mandarin,Product,52253,836-71-7105,59,38
68,Sara Jensen,Female,India,None,Human Resource,149636,167-97-0751,57,36
69,Kimberly Jarvis,Male,USA,None,Human Resource,112607,741-45-6160,48,27
70,Isabel Wolfe,Male,Philippines,Spanish,Operations,91517,062-95-9801,47,26
71,Brent Bradley,Male,USA,Spanish,I/T,132924,134-95-3724,48,27
72,Amanda Maldonado,Female,USA,Spanish,I/T,125768,637-20-2904,27,6
73,Kendra Mccann,Female,China,"Hindi, Arabic",Administrative,88065,203-85-5498,26,5
74,Matthew Velazquez,Female,China,Hindi,Human Resource,78029,315-23-0261,62,41
75,Jamie Brooks,Male,USA,Hindi,Operations,113686,535-47-8406,41,20
76,Kara Petty,Male,China,None,Legal,146933,315-93-7418,43,22
77,Molly Curtis,Female,USA,"Mandarin, Spanish",Legal,100901,535-20-1455,49,28
78,Michelle Graham,Male,USA,None,Product,65920,566-21-3253,39,18
79,Jennifer Joseph,Male,USA,None,Human Resource,83182,001-98-9729,52,31
80,Shane Stephens,Female,USA,None,Sales,98100,445-47-9797,39,18
81,Gary Boone,Male,India,French,Finance,141322,753-47-5298,28,7
82,Brad Pena,Male,South Korea,"Mandarin, French",Human Resource,70076,654-95-3625,38,17
83,Brittany Burns,Female,China,"Arabic, French",Legal,91174,386-47-5557,26,5
84,Daniel Fowler,Male,China,Mandarin,Product,53182,727-56-1291,59,38
85,Jennifer May,Female,USA,Hindi,Sales,79966,644-32-0933,39,18
86,Anthony Rowe,Male,USA,None,Human Resource,130041,084-35-6084,42,21
87,Richard Jimenez,Female,USA,None,Administrative,59604,707-99-8540,24,3
88,Nathan Rodriguez,Female,USA,None,Operations,127030,013-88-0446,49,28
89,Stephen Sawyer,Female,Canada,None,Human Resource,55432,237-83-5363,57,36
90,Olivia James,Male,USA,"Arabic, Spanish",Human Resource,58596,064-88-8984,42,21
91,Julie Bradley,Female,China,Spanish,Sales,70659,478-58-0993,62,41
92,Sara Brown,Female,India,"French, Mandarin",I/T,138669,855-30-6165,22,1
93,Lisa Smith,Female,China,"Arabic, Mandarin",I/T,134591,331-41-1289,25,4
94,David Hughes,Male,China,"French, Arabic",Operations,78659,136-72-2939,46,25
95,Holly Young,Male,China,French,Administrative,101887,098-05-6470,34,13
96,Jennifer Valenzuela,Male,USA,Mandarin,Operations,58814,629-76-5316,50,29
97,James Rhodes,Male,India,Hindi,Legal,109144,566-42-2257,58,37
98,James Butler,Male,USA,"French, Mandarin",Operations,143681,683-83-2201,23,2
99,Dennis Robinson,Female,USA,None,Operations,57866,751-09-8323,38,17
100,Jasmine Spence,Male,USA,Spanish,Marketing,58884,137-31-4195,54,33
101,Crystal Rios,Male,USA,None,Operations,120721,782-79-7770,33,12
102,Sandra Howe,Male,USA,"French, Mandarin",Operations,144300,205-41-9282,56,35
103,Carl Cameron,Male,India,None,Marketing,66737,414-07-9053,54,33
104,Brittany Schmidt,Male,USA,None,Operations,55194,443-09-5693,64,43
105,Mark Martin,Female,USA,None,Administrative,55466,530-23-7049,31,10
106,Sabrina Foster,Female,USA,Arabic,Administrative,109327,806-68-2066,23,2
107,Sandra Wang,Male,USA,French,Operations,134274,248-52-7753,26,5
108,Craig Henson,Male,USA,None,Product,60133,654-12-0201,26,5
109,Jeffrey Nunez,Female,USA,"Arabic, Hindi",Legal,51875,725-75-7953,35,14
110,Travis Anderson,Female,Canada,Mandarin,Operations,99956,047-08-8336,58,37
111,Susan Luna,Male,USA,"French, Arabic",Sales,81474,696-39-0298,60,39
112,George Smith,Female,USA,"Hindi, Spanish",Sales,136589,173-50-4743,36,15
113,Raymond West,Female,China,"Mandarin, Hindi",Product,110844,534-18-1340,61,40
114,Alexandra Lucas,Male,USA,"Mandarin, French",Operations,144393,108-55-2922,28,7
115,Kelsey Manning,Female,China,"Spanish, Mandarin",Product,64275,856-28-9631,57,36
116,Deborah Rush,Male,USA,Hindi,Sales,82123,433-66-9283,55,34
117,Jose Woodward,Male,USA,"Hindi, Arabic",Human Resource,107182,052-37-0302,52,31
118,Linda Martin,Male,Canada,"Spanish, French",Finance,67596,106-10-3166,39,18
119,Victoria Williams,Male,USA,Mandarin,Operations,72506,138-95-0595,59,38
120,Marcus Kim,Male,Taiwan,French,Operations,143277,532-28-1473,51,30
121,Daniel Deleon,Male,South Korea,French,Human Resource,111639,268-16-2370,43,22
122,Curtis Robbins,Male,South Korea,"Arabic, Mandarin",I/T,130893,577-14-2927,48,27
123,Kimberly Newman,Female,South Korea,None,Marketing,137312,270-71-3533,35,14
124,Faith Lane,Female,China,None,Operations,99146,037-88-2715,62,41
125,Christine Scott,Female,USA,None,Marketing,106480,279-06-3252,33,12
126,James Peterson,Male,USA,Hindi,I/T,139816,319-84-5607,41,20
127,Alyssa Hamilton,Female,USA,"Mandarin, Arabic",Sales,92776,633-11-8421,52,31
128,Jared Smith,Female,USA,"Spanish, Hindi",Operations,86991,321-23-8956,31,10
129,Cathy Wright,Male,USA,None,Human Resource,130042,858-34-4026,33,12
130,Ronnie Morrow,Female,USA,Mandarin,Operations,124545,381-19-5490,48,27
131,Ashley Anderson,Female,China,French,Human Resource,68518,726-82-3344,48,27
132,Derek Stephenson,Male,USA,None,Product,116842,773-16-2682,45,24
133,Jonathan Woodward,Male,USA,None,Operations,74499,458-59-5626,54,33
134,Heidi Lee,Male,USA,Mandarin,Human Resource,94667,837-37-2906,47,26
135,Hayley Clark,Male,USA,Spanish,Operations,104303,608-69-5866,29,8
136,Benjamin Cook,Male,USA,French,Human Resource,130077,511-04-5862,37,16
137,Robin Montgomery,Female,USA,None,I/T,139500,223-62-3003,47,26
138,Michael Russell,Male,China,Arabic,Operations,89497,611-60-8970,55,34
139,Brian Calderon,Female,USA,"French, Spanish",Finance,85423,602-59-7401,37,16
140,Nicole Richardson,Female,USA,"Hindi, Arabic",I/T,102196,345-39-9628,46,25
141,Paul Crane,Male,USA,Hindi,Product,74117,236-74-4062,59,38
142,Susan West,Female,USA,None,Product,148392,416-61-9473,35,14
143,Kristen Wood,Female,USA,None,Product,112167,883-95-4761,24,3
144,Cheryl Norton,Female,China,Hindi,Administrative,79230,739-95-8254,26,5
145,Laura Mahoney,Male,USA,Spanish,Product,117566,649-09-4956,46,25
146,Rodney Farrell,Male,USA,"Arabic, Hindi",Human Resource,112599,425-75-0254,34,13
147,Dana Hobbs,Female,India,None,Operations,74264,888-58-2310,54,33
148,Phillip Johnson,Female,USA,Spanish,Operations,98216,890-83-0290,51,30
149,Brooke Villa,Male,China,None,Human Resource,102029,819-52-1232,38,17
150,Carmen Flowers,Male,USA,"Spanish, Hindi",Finance,126800,018-83-7987,29,8
151,Brian Perez,Male,USA,Spanish,Sales,77920,848-68-7383,27,6
152,Tyler Bautista,Female,USA,Spanish,Human Resource,62251,346-42-9108,33,12
153,Sarah Cole,Female,USA,French,Product,106333,246-23-9142,24,3
154,Brett Anderson,Male,South Korea,Hindi,Operations,117935,511-76-5769,45,24
155,Miguel Reeves,Female,USA,None,Product,124914,616-54-7266,32,11
156,Karen Drake,Male,USA,None,Sales,149312,767-80-0993,22,1
157,Tracey Golden,Female,USA,Arabic,Legal,121904,144-10-7754,39,18
158,Victoria Wagner,Female,USA,"Arabic, Spanish",Product,114402,098-78-5385,61,40
159,Dominic Gordon,Female,USA,"Hindi, Mandarin",I/T,107747,874-21-9281,23,2
160,Philip Mills,Female,China,Arabic,Product,78748,472-04-3670,50,29
161,Damon Montgomery,Female,USA,"Arabic, Mandarin",Product,69740,663-07-9979,44,23
162,Stuart Cross,Female,Mexico,None,I/T,57430,240-71-8133,47,26
163,Cassandra Nelson,Female,USA,Spanish,Sales,112980,297-25-9634,34,13
164,Kevin Evans,Female,USA,Arabic,Finance,108209,563-52-1969,50,29
165,Samuel Massey,Female,India,"Arabic, Mandarin",Sales,108585,559-19-2792,46,25
166,William Thornton,Female,USA,"Hindi, Spanish",Sales,117490,779-97-8469,26,5
167,Kyle Moran,Female,USA,"Hindi, Spanish",Operations,131224,644-24-5293,61,40
168,John Harris,Female,USA,Spanish,I/T,77750,567-05-0897,48,27
169,Lindsay Carr,Female,USA,"Mandarin, Hindi",Marketing,111438,333-34-0787,45,24
170,Ashley Snyder,Female,USA,Arabic,Marketing,109209,270-61-0541,52,31
171,Bryan Rodriguez,Male,USA,Mandarin,Operations,96715,834-89-1762,55,34
172,Katherine Aguirre,Male,China,"French, Hindi",Finance,65853,495-15-6429,25,4
173,Amy Brown,Male,USA,Spanish,Administrative,104858,046-86-2612,38,17
174,Christine Payne,Male,India,French,Finance,107719,251-63-5102,41,20
175,Dr. Roy Morales,Male,USA,None,Operations,92969,177-90-4312,32,11
176,John Garcia,Female,USA,Mandarin,Human Resource,107950,224-73-6098,32,11
177,Mark Potts,Female,South Korea,French,Product,126239,772-02-2406,53,32
178,Emily Roman,Female,USA,Mandarin,Product,84053,363-87-1234,36,15
179,Taylor Kennedy,Female,China,"Arabic, Spanish",Sales,116714,561-12-4306,47,26
180,David Monroe,Female,USA,Hindi,Marketing,76830,202-71-1799,42,21
181,David Williamson,Male,USA,None,Marketing,65125,135-47-3678,31,10
182,Krystal Gray,Female,India,Arabic,I/T,104249,126-40-7016,56,35
183,Richard Hester,Female,USA,Hindi,Product,122448,688-38-6910,42,21
184,James Wilson,Female,USA,"Arabic, Hindi",Sales,85453,035-53-7029,32,11
185,Jordan Taylor,Male,India,"French, Mandarin",Marketing,118780,043-26-0481,38,17
186,Matthew Duran,Female,USA,Mandarin,Product,122359,857-43-4355,54,33
187,Kim Bautista,Male,USA,Hindi,Finance,59532,638-41-3049,45,24
